outcome,effect_label,effect,gap,arm,method,true_tau,n_rep,n_identified,bias,bias_mcse,rmse,coverage,coverage_mcse,fpr,fnr,sign_correctness,claim_accuracy,claim_accuracy_mcse,attenuation_ratio,unidentified_rate,gate_rejection_rate,anticipation_classification_accuracy
launches,robustness,0.1,7,anticipation,activation_plus_anticipation_gate,0.1,2000,1155,-0.008097018407269535,0.0019826404057329654,0.0678364030901784,0.8277056277056277,0.011111751182706206,,0.587012987012987,0.9021645021645022,0.40606060606060607,0.01445025472794247,0.9190298159273047,0.4225,0.4225,0.4225
launches,robustness,0.1,10,zero,naive_announcement,0.0,2000,2000,3.209637096293172e-05,0.0015968277276283559,0.07139445885242623,0.7535,0.009636849848368502,0.2465,,,0.7535,0.009636849848368502,,0.0,,
launches,robustness,0.1,10,zero,verified_activation,0.0,2000,2000,-0.0015889580008243325,0.0015527343636062673,0.06944121118883209,0.7925,0.009067627859589299,0.2075,,,0.7925,0.009067627859589299,,0.0,,
launches,robustness,0.1,10,zero,activation_plus_anticipation_gate,0.0,2000,1389,-0.0007884598779343247,0.001945558724619553,0.0724877750747556,0.7962562994960403,0.010807305111771144,0.20374370050395968,,,0.7962562994960403,0.010807305111771144,,0.3055,0.3055,0.6945
launches,robustness,0.1,10,no_anticipation,naive_announcement,0.1,2000,2000,-0.03147941975032248,0.0016117760768062836,0.07863841484430711,0.791,0.009091727008660124,,0.628,0.829,0.351,0.010672370870617268,0.6852058024967752,0.0,,
launches,robustness,0.1,10,no_anticipation,verified_activation,0.1,2000,2000,0.0003903944568200146,0.001563505045184763,0.06990567868522565,0.7855,0.009178500694557909,,0.5005,0.9215,0.4965,0.011180065965816124,1.0039039445682,0.0,,
launches,robustness,0.1,10,no_anticipation,activation_plus_anticipation_gate,0.1,2000,1362,0.0022854880893156126,0.0019889447215795057,0.073411203915959,0.788546255506608,0.011064523695388408,,0.5286343612334802,0.919970631424376,0.461086637298091,0.013507102341315065,1.0228548808931561,0.319,0.319,0.681
launches,robustness,0.1,10,anticipation,naive_announcement,0.1,2000,2000,-0.01762288099962772,0.0015995483812215514,0.07365539645837325,0.7695,0.009417264730270675,,0.561,0.8715,0.4275,0.011062182198824967,0.8237711900037228,0.0,,
launches,robustness,0.1,10,anticipation,verified_activation,0.1,2000,2000,-0.014316143484183808,0.0015384375302197962,0.07025784826624655,0.789,0.009123568380847484,,0.575,0.8875,0.416,0.011021433663548495,0.8568385651581619,0.0,,
launches,robustness,0.1,10,anticipation,activation_plus_anticipation_gate,0.1,2000,1275,-0.010144795267635051,0.00199984080447361,0.07209788930965319,0.8054901960784314,0.01108525748062419,,0.5803921568627451,0.8823529411764706,0.40941176470588236,0.013771062915568542,0.8985520473236495,0.3625,0.3625,0.3625
unique_creators,primary,0.15,3,zero,naive_announcement,0.0,2000,2000,0.00024693951300757067,0.0010679579854660178,0.04774922996557781,0.8765,0.00735689302627135,0.1235,,,0.8765,0.00735689302627135,,0.0,,
unique_creators,primary,0.15,3,zero,verified_activation,0.0,2000,2000,-0.00032240352394196053,0.0010764254012889313,0.04812825097037896,0.878,0.007318333143551201,0.122,,,0.878,0.007318333143551201,,0.0,,
unique_creators,primary,0.15,3,zero,activation_plus_anticipation_gate,0.0,2000,1132,0.0010463203378399814,0.0014179716122025717,0.04769834983357765,0.8895759717314488,0.009315369829555534,0.11042402826855123,,,0.8895759717314488,0.009315369829555534,,0.434,0.434,0.566
unique_creators,primary,0.15,3,no_anticipation,naive_announcement,0.15,2000,2000,-0.016494605491521125,0.0010826859455424988,0.05114017515432219,0.8815,0.007226954752867907,,0.181,0.9975,0.819,0.008609268261588787,0.8900359633898591,0.0,,
unique_creators,primary,0.15,3,no_anticipation,verified_activation,0.15,2000,2000,0.00012949176276910723,0.0010895893576343175,0.048715906023477425,0.874,0.007420377348895405,,0.08,1.0,0.92,0.006066300355241239,1.0008632784184608,0.0,,
unique_creators,primary,0.15,3,no_anticipation,activation_plus_anticipation_gate,0.15,2000,1111,0.0013719635209868963,0.0014629207684007921,0.04875894325894792,0.8838883888388839,0.009611241960351397,,0.0927092709270927,1.0,0.9072907290729073,0.008701172728478543,1.009146423473246,0.4445,0.4445,0.5555
unique_creators,primary,0.15,3,anticipation,naive_announcement,0.15,2000,2000,-0.009786754320114194,0.0010387263926270609,0.04746163340092276,0.889,0.007024208140424086,,0.126,0.9995,0.874,0.007420377348895405,0.9347549711992387,0.0,,
unique_creators,primary,0.15,3,anticipation,verified_activation,0.15,2000,2000,-0.006398157774902075,0.0010507463075318934,0.04741274048917194,0.8815,0.007226954752867907,,0.092,0.9995,0.908,0.006462816723379983,0.9573456148339862,0.0,,
unique_creators,primary,0.15,3,anticipation,activation_plus_anticipation_gate,0.15,2000,1105,-0.0036362603627381473,0.0013652412847276207,0.04550769238892384,0.9067873303167421,0.008745991603851476,,0.09140271493212669,1.0,0.9085972850678733,0.008669301883366617,0.9757582642484124,0.4475,0.4475,0.4475
unique_creators,primary,0.15,5,zero,naive_announcement,0.0,2000,2000,-0.0005407577255888373,0.001042633124447893,0.046619448725585974,0.8825,0.0072004774147274445,0.1175,,,0.8825,0.0072004774147274445,,0.0,,
unique_creators,primary,0.15,5,zero,verified_activation,0.0,2000,2000,-0.0006847916984151768,0.0010554810059906592,0.047195711749377395,0.8905,0.006982469119158352,0.1095,,,0.8905,0.006982469119158352,,0.0,,
unique_creators,primary,0.15,5,zero,activation_plus_anticipation_gate,0.0,2000,1252,0.002336070784228342,0.0013621641351907817,0.04823563653400033,0.884185303514377,0.00904380767813769,0.11581469648562301,,,0.884185303514377,0.00904380767813769,,0.374,0.374,0.626
unique_creators,primary,0.15,5,no_anticipation,naive_announcement,0.15,2000,2000,-0.028518063979667108,0.0010791305168906334,0.05604605958892377,0.863,0.007688660481514319,,0.277,0.9935,0.723,0.010006772706522319,0.809879573468886,0.0,,
unique_creators,primary,0.15,5,no_anticipation,verified_activation,0.15,2000,2000,-0.0017547248971718499,0.0010955348501442478,0.04901297867522472,0.8645,0.007653095778833555,,0.086,0.999,0.914,0.006269130721240385,0.9883018340188543,0.0,,
unique_creators,primary,0.15,5,no_anticipation,activation_plus_anticipation_gate,0.15,2000,1232,-0.0005571228456297539,0.0014258499704623436,0.050029917490161564,0.862012987012987,0.009825861931142847,,0.10795454545454546,0.9991883116883117,0.8920454545454546,0.008841146865533256,0.9962858476958016,0.384,0.384,0.616
unique_creators,primary,0.15,5,anticipation,naive_announcement,0.15,2000,2000,-0.013949268608065807,0.0010768732950190937,0.05012718449760574,0.8845,0.007147018609182434,,0.1805,0.999,0.8195,0.008599992732555068,0.9070048759462279,0.0,,
unique_creators,primary,0.15,5,anticipation,verified_activation,0.15,2000,2000,-0.008441485790162073,0.0011102067050938024,0.050350213301315304,0.866,0.007617217339685143,,0.128,0.998,0.872,0.007470475219154402,0.9437234280655862,0.0,,
unique_creators,primary,0.15,5,anticipation,activation_plus_anticipation_gate,0.15,2000,1145,-0.003917257200229951,0.0014557852551118082,0.04939469966575203,0.8829694323144105,0.009499915601223726,,0.12925764192139738,1.0,0.8707423580786027,0.00991448606821269,0.973884951998467,0.4275,0.4275,0.4275
unique_creators,primary,0.15,7,zero,naive_announcement,0.0,2000,2000,0.001419728722248343,0.0011087828425779813,0.04959420343390344,0.864,0.00766498532288223,0.136,,,0.864,0.00766498532288223,,0.0,,
unique_creators,primary,0.15,7,zero,verified_activation,0.0,2000,2000,4.496080938241842e-05,0.0010686938946641192,0.04778151521057715,0.881,0.0072401312142805815,0.119,,,0.881,0.0072401312142805815,,0.0,,
unique_creators,primary,0.15,7,zero,activation_plus_anticipation_gate,0.0,2000,1334,0.0016471354499966151,0.0013519785208934772,0.04938857831347989,0.8793103448275862,0.008919247179272517,0.1206896551724138,,,0.8793103448275862,0.008919247179272517,,0.333,0.333,0.667
unique_creators,primary,0.15,7,no_anticipation,naive_announcement,0.15,2000,2000,-0.03986811425095069,0.0010880000882949336,0.06289492168684443,0.8495,0.007995303308818246,,0.401,0.9875,0.599,0.010958991741944146,0.7342125716603287,0.0,,
unique_creators,primary,0.15,7,no_anticipation,verified_activation,0.15,2000,2000,-0.0023403247233302615,0.0010739959453383377,0.048075547149527144,0.874,0.007420377348895405,,0.0835,0.9995,0.9165,0.006185780063985464,0.9843978351777982,0.0,,
unique_creators,primary,0.15,7,no_anticipation,activation_plus_anticipation_gate,0.15,2000,1352,-0.0003320238483882354,0.001358256466527113,0.04992511341428711,0.882396449704142,0.008761001336513606,,0.11390532544378698,0.9992603550295858,0.886094674556213,0.008640198737892266,0.9977865076774117,0.324,0.324,0.676
